,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
29,0.97619,0.266667,0.573,0.326,0.29,0.084,1,1,0,0.136364,0,0,0,0,0,0.940476,0.333333,0.437,0,0.59,0.496,0.5,0.83,0,0.0909091,0,0.7,0.25,0,0
30,0.892857,0.288889,0.706,0.614,0.62,0.043,1,0.94,0,0.0454545,0.0526316,0.2,0.0833333,0,0,0.857143,0.355556,0.162,0.162,0.61,0.347,0.48,0.57,0,0.0454545,0.105263,0.1,0,0,0
31,0.880952,0.377778,0.302,0.273,0.55,0.104,0.27,0.77,0,0.0909091,0,0.8,0.166667,0,0.333333,0.880952,0.155556,0.389,0.229,0.56,0.771,0.4,0.75,0,0.0454545,0.0526316,0,0,0,0
32,0.916667,0.555556,0.354,0.268,0.59,0.053,0.36,0.79,0,0.5,0.105263,0.5,0.75,0.142857,0.555556,0.928571,0.355556,0,0.298,0.35,0,0,0.66,0,0.0909091,0,0,0,0,0
33,0.761905,0.355556,0.411,0.342,0.5,0,0,0.73,0,0,0,0.2,0,0,0.111111,0.809524,0.355556,0.428,0.468,0.62,0,0,0.56,0,0,0,0.4,0,0,0
34,0.880952,0.422222,0.518,0.414,0.66,0.054,1,0.72,0,0.0909091,0,0,0,0.142857,0,0.892857,0.4,0,0.287,0.49,0.185,0.28,0.16,0,0,0.0526316,0.1,0,0,0.111111
35,0.833333,0.333333,0.476,0.268,0.69,0.048,0.28,0.93,0,0.0454545,0.0526316,0.1,0,0,0,0.869048,0.288889,0.583,0.237,0.59,0,0,0.88,0,0.0454545,0,0.1,0,0.142857,0
36,0.857143,0.6,0.171,0.192,0.64,0.258,0.25,0.65,0,0.0454545,0.526316,0.8,0.0833333,0,0.777778,0.869048,0.444444,0,0.849,0.09,0.439,0.5,0,0,0,0.0526316,0,0.0833333,0,0
37,0.869048,0.4,0.415,0.382,0.58,0.056,0.45,0.78,0,0.181818,0,0.6,0.166667,0.571429,0.333333,0.833333,0.311111,0.346,0.261,0.54,0.071,0.55,0.55,0,0.0909091,0,0.2,0.166667,0,0.111111
38,0.869048,0.333333,0.685,0.716,0.52,0.122,0.45,0.78,0,0.0454545,0,0,0.0833333,0,0.222222,0.857143,0.333333,0.391,0.268,0.6,0.159,0.31,0.8,0,0.0454545,0.210526,0.4,0.25,0.142857,0
39,0.964286,0.311111,0.357,0.167,0.82,0,0,1,0,0,0.0526316,0,0,0,0,0.964286,0.266667,0.531,0.379,0.4,0,0,0.8,0,0,0,0,0,0,0
40,0.845238,0.244444,0.503,0.423,0.59,0,1,0.66,0,0,0,0.2,0,0,0,0.833333,0.444444,0.205,0.141,0.67,0,0,0.62,0,0.0909091,0,0,0,0.142857,0
