Name,f,Unnamed: 0,Name,Record,Height,Weight,Reach,Stance,DoB,SLpM,Str Acc,SApM,Str Def,TD Avg,TD Acc,TD Def,Sub Avg,MMA Record,KO/TKO Wins,SUB Wins,U-DEC Wins,M-DEC Wins,S-DEC Wins,KO/TKO Losses,SUB Losses,U-DEC Losses,M-DEC Losses,S-DEC Losses,Total Draws,Total NCs,Age
Brett Albee,31,31,Brett Albee,3/1/00,--,225lbs.,0.0,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[('Virgil Zwicker', 'loss', 'KO/TKO')]",0.0,0.0,0.0,0,0,0.08333333333333333,0.0,0.0,0,0,0,0,0.0
John Albert,32,32,John Albert,7/5/00,"5'8""",135lbs.,0.8095238095238095,,"Oct13,1986",0.305,0.49,0.282,0.35,0.0,0.0,0.5,0.0,"[('Yaotzin Meza', 'loss', 'SUBRearNakedChoke'), ('Scott Jorgensen', 'loss', 'SUBRearNakedChoke'), ('Erik Perez', 'loss', 'SUBArmbar'), ('Ivan Menjivar', 'loss', 'SUBRearNakedChoke'), ('Dustin Pague', 'win', 'KO/TKOPunches')]",0.045454545454545456,0.0,0.0,0,0,0.0,0.5714285714285714,0.0,0,0,0,0,0.4
Junior Albini,33,33,Junior Albini,14-6-0,"6'3""",264lbs.,0.8809523809523809,Orthodox,"Mar15,1991",0.398,0.51,0.608,0.52,0.154,0.37,1.0,0.0,"[('Maurice Greene', 'loss', 'KO/TKOPunch'), ('Jairzinho Rozenstruik', 'loss', 'KO/TKOKick'), ('Aleksei Oleinik', 'loss', 'SUBOther-Choke'), ('Andrei Arlovski', 'loss', 'U-DEC'), ('Tim Johnson', 'win', 'KO/TKOPunch')]",0.045454545454545456,0.0,0.0,0,0,0.16666666666666666,0.14285714285714285,0.1111111111111111,0,0,0,0,0.28888888888888886
Wes Albritton,34,34,Wes Albritton,0-1-0,"5'10""",188lbs.,0.0,Orthodox,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[('Tito Ortiz', 'loss', 'KO/TKOPunches')]",0.0,0.0,0.0,0,0,0.08333333333333333,0.0,0.0,0,0,0,0,0.0
Alexandra Albu,35,35,Alexandra Albu,7/1/00,"5'2""",115lbs.,0.75,Orthodox,"Jul14,1990",0.513,0.5,0.492,0.41,0.305,0.55,0.75,0.0,"[('Emily Whitmire', 'loss', 'SUBRearNakedChoke'), ('Kailin Curran', 'win', 'U-DEC'), ('Izabela Badurek', 'win', 'SUBGuillotineChoke')]",0.0,0.05263157894736842,0.1,0,0,0.0,0.14285714285714285,0.0,0,0,0,0,0.3111111111111111
Israel Albuquerque,36,36,Israel Albuquerque,0-3-0,--,185lbs.,0.0,Orthodox,--,0.032,0.13,0.33399999999999996,0.25,0.0,0.0,0.0,0.0,"[('Anderson Silva', 'loss', 'KO/TKOPunches')]",0.0,0.0,0.0,0,0,0.08333333333333333,0.0,0.0,0,0,0,0,0.0
Juan Alcain,37,37,Juan Alcain,1/2/00,--,--,0.0,,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[('Mario Rivera', 'win', 'U-DEC')]",0.0,0.0,0.1,0,0,0.0,0.0,0.0,0,0,0,0,0.0
Iuri Alcantara,38,38,Iuri Alcantara,35-10-0 (1 NC),"5'9""",135lbs.,0.8452380952380952,Southpaw,"Aug04,1980",0.272,0.45,0.279,0.49,0.144,0.62,0.6,0.0,"[('Cory Sandhagen', 'loss', 'KO/TKOPunches'), ('Joe Soto', 'win', 'KO/TKOPunches'), ('Alejandro Perez', 'loss', 'U-DEC'), ('Brian Kelleher', 'loss', 'SUBGuillotineChoke'), ('Luke Sanders', 'win', 'SUBKneebar'), ('Brad Pickett', 'win', 'SUBTriangleChoke'), ('Jimmie Rivera', 'loss', 'U-DEC'), ('Leandro Issa', 'win', 'U-DEC'), ('Frankie Saenz', 'loss', 'U-DEC'), ('Russell Doane', 'win', 'U-DEC'), ('Vaughan Lee', 'win', 'KO/TKOPunch'), ('Wilson Reis', 'win', 'S-DEC'), ('Urijah Faber', 'loss', 'U-DEC'), ('Iliarde Santos', 'win', 'KO/TKOPunch'), ('Pedro Nobre', 'nc', 'CNC'), ('Hacran Dias', 'loss', 'U-DEC'), ('Michihiro Omigawa', 'win', 'U-DEC'), ('Felipe Arantes', 'win', 'U-DEC'), ('Ricardo Lamas', 'win', 'KO/TKOPunch')]",0.18181818181818182,0.10526315789473684,0.4,0,1,0.08333333333333333,0.14285714285714285,0.5555555555555556,0,0,0,0,0.5333333333333333
Ildemar Alcantara,39,39,Ildemar Alcantara,21-8-0,"6'2""",185lbs.,0.9285714285714286,Orthodox,"Nov18,1982",0.193,0.38,0.263,0.5,0.0,0.68,0.81,0.0,"[('Kevin Casey', 'loss', 'U-DEC'), ('Richardson Moreira', 'win', 'S-DEC'), ('Kenny Robertson', 'loss', 'U-DEC'), ('Albert Tumenov', 'win', 'S-DEC'), ('Igor Araujo', 'loss', 'U-DEC'), ('Leandro Silva', 'win', 'U-DEC'), ('Wagner Prado', 'win', 'SUBKneebar')]",0.0,0.05263157894736842,0.1,0,2,0.0,0.0,0.3333333333333333,0,0,0,0,0.4888888888888889
Alfonso Alcarez,40,40,Alfonso Alcarez,1/3/01,"5'3""",145lbs.,0.0,,"Jun10,1970",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[('Jens Pulver', 'draw', 'M-DEC')]",0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.7555555555555555
Gilbert Aldana,41,41,Gilbert Aldana,6/2/00,"6'1""",250lbs.,0.0,Orthodox,"Aug25,1977",0.29100000000000004,0.54,0.626,0.26,0.257,0.4,0.33,0.0,"[('Cheick Kongo', 'loss', 'KO/TKO'), ('Paul Buentello', 'loss', 'KO/TKOPunches')]",0.0,0.0,0.0,0,0,0.16666666666666666,0.0,0.0,0,0,0,0,0.6
Irene Aldana,42,42,Irene Aldana,11/5/00,"5'9""",135lbs.,0.8095238095238095,Orthodox,"Mar26,1988",0.0,0.39,0.601,0.62,0.028999999999999998,0.5,0.93,0.0,"[('Vanessa Melo', 'win', 'U-DEC'), ('Raquel Pennington', 'loss', 'S-DEC'), ('Bethe Correia', 'win', 'SUBArmbar'), ('Lucie Pudilova', 'win', 'S-DEC'), ('Talita Bernardo', 'win', 'U-DEC'), ('Katlyn Chookagian', 'loss', 'S-DEC'), ('Leslie Smith', 'loss', 'U-DEC')]",0.0,0.05263157894736842,0.2,0,1,0.0,0.0,0.1111111111111111,0,2,2,0,0.35555555555555557
