,Title,Date,Location,Fights,Winners,Methods,Rounds,Times
395,UFC 82: Pride of a Champion,"March 01, 2008","Columbus, Ohio, USA","['Anderson Silva vs Dan Henderson', 'Heath Herring vs Cheick Kongo', 'Chris Leben vs Alessio Sakara', 'Yushin Okami vs Evan Tanner', 'Jon Fitch vs Chris Wilson', ""Andrei Arlovski vs Jake O'Brien"", 'Luigi Fioravanti vs Luke Cummo', 'Josh Koscheck vs Dustin Hazelett', 'Diego Sanchez vs David Bielkheden', 'Jorge Gurgel vs John Halverson']","['Anderson Silva', 'Heath Herring', 'Chris Leben', 'Yushin Okami', 'Jon Fitch', 'Andrei Arlovski', 'Luigi Fioravanti', 'Josh Koscheck', 'Diego Sanchez', 'Jorge Gurgel']","['SUB', 'S-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC']","['2', '3', '1', '2', '3', '2', '3', '2', '1', '3']","['4:52', '5:00', '3:16', '3:00', '5:00', '4:17', '5:00', '1:24', '4:43', '5:00']"
396,UFC 81: Breaking Point,"February 02, 2008","Las Vegas, Nevada, USA","['Minotauro Nogueira vs Tim Sylvia', 'Frank Mir vs Brock Lesnar', 'Nate Marquardt vs Jeremy Horn', 'Ricardo Almeida vs Rob Yundt', 'Tyson Griffin vs Gleison Tibau', 'Chris Lytle vs Kyle Bradley', 'Tim Boetsch vs David Heath', 'Marvin Eastman vs Terry Martin', 'Rob Emerson vs Keita Nakamura']","['Minotauro Nogueira', 'Frank Mir', 'Nate Marquardt', 'Ricardo Almeida', 'Tyson Griffin', 'Chris Lytle', 'Tim Boetsch', 'Marvin Eastman', 'Rob Emerson']","['SUB', 'SUB', 'SUB', 'SUB', 'U-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'S-DEC']","['3', '1', '2', '1', '3', '1', '1', '3', '3']","['1:28', '1:30', '1:37', '1:08', '5:00', '0:33', '4:52', '5:00', '5:00']"
397,UFC Fight Night: Swick vs Burkman,"January 23, 2008","Las Vegas, Nevada, USA","['Mike Swick vs Joshua Burkman', 'Patrick Cote vs Drew McFedries', 'Thiago Tavares vs Michihiro Omigawa', 'Nate Diaz vs Alvin Robinson', 'Kurt Pellegrino vs Alberto Crane', 'Gray Maynard vs Dennis Siver', 'Jeremy Stephens vs Cole Miller', 'Corey Hill vs Joe Veres', 'Matt Wiman vs Justin Buchholz']","['Mike Swick', 'Patrick Cote', 'Thiago Tavares', 'Nate Diaz', 'Kurt Pellegrino', 'Gray Maynard', 'Jeremy Stephens', 'Corey Hill', 'Matt Wiman']","['M-DEC', 'KO/TKO', 'U-DEC', 'SUB', 'KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'SUB']","['3', '1', '3', '1', '2', '3', '2', '2', '1']","['5:00', '1:44', '5:00', '3:39', '1:55', '5:00', '4:44', '0:37', '2:56']"
398,UFC 80: Rapid Fire,"January 19, 2008","Newcastle, England, United Kingdom","['BJ Penn vs Joe Stevenson', 'Fabricio Werdum vs Gabriel Gonzaga', 'Marcus Davis vs Jess Liaudin', 'Wilson Gouveia vs Jason Lambert', 'Jorge Rivera vs Kendall Grove', 'Antoni Hardonk vs Colin Robinson', 'Paul Kelly vs Paul Taylor', 'Alessio Sakara vs James Lee', 'Sam Stout vs Per Eklund']","['BJ Penn', 'Fabricio Werdum', 'Marcus Davis', 'Wilson Gouveia', 'Jorge Rivera', 'Antoni Hardonk', 'Paul Kelly', 'Alessio Sakara', 'Sam Stout']","['SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC']","['2', '2', '1', '2', '1', '1', '3', '1', '3']","['4:02', '4:34', '1:04', '0:37', '1:20', '0:17', '5:00', '1:30', '5:00']"
399,UFC 79: Nemesis,"December 29, 2007","Las Vegas, Nevada, USA","['Georges St-Pierre vs Matt Hughes', 'Chuck Liddell vs Wanderlei Silva', 'Eddie Sanchez vs Soa Palelei', 'Lyoto Machida vs Rameau Thierry Sokoudjou', 'Rich Clementi vs Melvin Guillard', 'James Irvin vs Luiz Cane', 'Manvel Gamburyan vs Nate Mohr', 'Dean Lister vs Jordan Radev', 'Roan Carneiro vs Tony DeSouza', 'Mark Bocek vs Doug Evans']","['Georges St-Pierre', 'Chuck Liddell', 'Eddie Sanchez', 'Lyoto Machida', 'Rich Clementi', 'James Irvin', 'Manvel Gamburyan', 'Dean Lister', 'Roan Carneiro', 'Mark Bocek']","['SUB', 'U-DEC', 'KO/TKO', 'SUB', 'SUB', 'DQ', 'SUB', 'U-DEC', 'KO/TKO', 'U-DEC']","['2', '3', '3', '2', '1', '1', '1', '3', '2', '3']","['4:54', '5:00', '3:24', '4:20', '4:40', '1:51', '1:31', '5:00', '3:33', '5:00']"
400,The Ultimate Fighter: Team Serra vs Team Hughes Finale,"December 08, 2007","Las Vegas, Nevada, USA","['Roger Huerta vs Clay Guida', 'Mac Danzig vs Tommy Speer', 'Jon Koppenhaver vs Jared Rollins', 'George Sotiropoulos vs Billy Miles', 'Ben Saunders vs Dan Barrera', 'Troy Mandaloniz vs Richie Hightower', 'Matt Arroyo vs John Kolosci', 'Roman Mitichyan vs Dorian Price', 'Jonathan Goulet vs Paul Georgieff']","['Roger Huerta', 'Mac Danzig', 'Jon Koppenhaver', 'George Sotiropoulos', 'Ben Saunders', 'Troy Mandaloniz', 'Matt Arroyo', 'Roman Mitichyan', 'Jonathan Goulet']","['SUB', 'SUB', 'KO/TKO', 'SUB', 'U-DEC', 'KO/TKO', 'SUB', 'SUB', 'SUB']","['3', '1', '3', '1', '3', '1', '1', '1', '1']","['0:51', '2:01', '2:01', '1:36', '5:00', '4:20', '4:42', '0:23', '4:42']"
401,UFC 78: Validation,"November 17, 2007","Newark, New Jersey, USA","['Rashad Evans vs Michael Bisping', 'Thiago Silva vs Houston Alexander', 'Karo Parisyan vs Ryo Chonan', 'Ed Herman vs Joe Doerksen', 'Frankie Edgar vs Spencer Fisher', 'Thiago Alves vs Chris Lytle', 'Joe Lauzon vs Jason Reinhardt', 'Marcus Aurelio vs Luke Caudillo', 'Akihiro Gono vs Tamdan McCrory']","['Rashad Evans', 'Thiago Silva', 'Karo Parisyan', 'Ed Herman', 'Frankie Edgar', 'Thiago Alves', 'Joe Lauzon', 'Marcus Aurelio', 'Akihiro Gono']","['S-DEC', 'KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC', 'KO/TKO', 'SUB', 'KO/TKO', 'SUB']","['3', '1', '3', '3', '3', '2', '1', '1', '2']","['5:00', '3:25', '5:00', '0:39', '5:00', '5:00', '1:14', '4:29', '3:19']"
402,UFC 77: Hostile Territory,"October 20, 2007","Cincinnati, Ohio, USA","['Anderson Silva vs Rich Franklin', 'Tim Sylvia vs Brandon Vera', 'Alvin Robinson vs Jorge Gurgel', 'Stephan Bonnar vs Eric Schafer', 'Alan Belcher vs Kalib Starnes', 'Yushin Okami vs Jason MacDonald', 'Demian Maia vs Ryan Jensen', 'Joshua Burkman vs Forrest Petz', 'Matt Grice vs Jason Black']","['Anderson Silva', 'Tim Sylvia', 'Alvin Robinson', 'Stephan Bonnar', 'Alan Belcher', 'Yushin Okami', 'Demian Maia', 'Joshua Burkman', 'Matt Grice']","['KO/TKO', 'U-DEC', 'U-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'SUB', 'S-DEC', 'S-DEC']","['2', '3', '3', '2', '2', '3', '1', '3', '3']","['1:07', '5:00', '5:00', '2:47', '1:39', '5:00', '2:40', '5:00', '5:00']"
403,UFC 76: Knockout,"September 22, 2007","Anaheim, California, USA","['Keith Jardine vs Chuck Liddell', 'Forrest Griffin vs Mauricio Rua', 'Jon Fitch vs Diego Sanchez', 'Lyoto Machida vs Kazuhiro Nakamura', 'Tyson Griffin vs Thiago Tavares', 'Rich Clementi vs Anthony Johnson', 'Jeremy Stephens vs Diego Saraiva', 'Christian Wellisch vs Scott Junk', 'Matt Wiman vs Michihiro Omigawa']","['Keith Jardine', 'Forrest Griffin', 'Jon Fitch', 'Lyoto Machida', 'Tyson Griffin', 'Rich Clementi', 'Jeremy Stephens', 'Christian Wellisch', 'Matt Wiman']","['S-DEC', 'SUB', 'S-DEC', 'U-DEC', 'U-DEC', 'SUB', 'U-DEC', 'SUB', 'U-DEC']","['3', '3', '3', '3', '3', '2', '3', '1', '3']","['5:00', '4:45', '5:00', '5:00', '5:00', '3:05', '5:00', '3:19', '5:00']"
404,UFC Fight Night: Thomas vs Florian,"September 19, 2007","Las Vegas, Nevada, USA","['Kenny Florian vs Din Thomas', 'Chris Leben vs Terry Martin', 'Nate Diaz vs Junior Assuncao', 'Nate Quarry vs Pete Sell', 'Luke Cummo vs Edilberto de Oliveira', 'Cole Miller vs Leonard Garcia', 'Gray Maynard vs Joe Veres', 'Thiago Alves vs Kuniyoshi Hironaka', 'Dustin Hazelett vs Jonathan Goulet']","['Kenny Florian', 'Chris Leben', 'Nate Diaz', 'Nate Quarry', 'Luke Cummo', 'Cole Miller', 'Gray Maynard', 'Thiago Alves', 'Dustin Hazelett']","['SUB', 'KO/TKO', 'SUB', 'KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'SUB']","['1', '3', '1', '3', '1', '3', '1', '2', '1']","['4:31', '3:56', '4:10', '0:44', '1:45', '5:00', '0:09', '4:04', '1:14']"
405,UFC 75: Champion vs Champion,"September 08, 2007","London, England, United Kingdom","['Rampage Jackson vs Dan Henderson', 'Michael Bisping vs Matt Hamill', 'Cheick Kongo vs Mirko Cro Cop', 'Marcus Davis vs Paul Taylor', 'Houston Alexander vs Alessio Sakara', 'Gleison Tibau vs Terry Etim', 'Thiago Silva vs Tomasz Drwal', 'Dennis Siver vs Naoyuki Kotani', 'Jess Liaudin vs Anthony Torres']","['Rampage Jackson', 'Michael Bisping', 'Cheick Kongo', 'Marcus Davis', 'Houston Alexander', 'Gleison Tibau', 'Thiago Silva', 'Dennis Siver', 'Jess Liaudin']","['U-DEC', 'S-DEC', 'U-DEC', 'SUB', 'KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'KO/TKO']","['5', '3', '3', '1', '1', '3', '2', '2', '1']","['5:00', '5:00', '5:00', '4:14', '1:01', '5:00', '4:23', '2:04', '4:10']"
406,UFC 74: Respect,"August 25, 2007","Las Vegas, Nevada, USA","['Randy Couture vs Gabriel Gonzaga', 'Georges St-Pierre vs Josh Koscheck', 'Roger Huerta vs Alberto Crane', 'Joe Stevenson vs Kurt Pellegrino', 'Patrick Cote vs Kendall Grove', 'Renato Sobral vs David Heath', 'Frank Mir vs Antoni Hardonk', 'Thales Leites vs Ryan Jensen', 'Clay Guida vs Marcus Aurelio']","['Randy Couture', 'Georges St-Pierre', 'Roger Huerta', 'Joe Stevenson', 'Patrick Cote', 'Renato Sobral', 'Frank Mir', 'Thales Leites', 'Clay Guida']","['KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC', 'KO/TKO', 'SUB', 'SUB', 'SUB', 'S-DEC']","['3', '3', '3', '3', '1', '2', '1', '1', '3']","['1:37', '5:00', '1:50', '5:00', '4:45', '3:30', '1:17', '3:47', '5:00']"
407,UFC 73: Stacked,"July 07, 2007","Sacramento, California, USA","['Kenny Florian vs Alvin Robinson', 'Anderson Silva vs Nate Marquardt', 'Rashad Evans vs Tito Ortiz', 'Sean Sherk vs Hermes Franca', 'Minotauro Nogueira vs Heath Herring', 'Stephan Bonnar vs Mike Nickels', 'Jorge Gurgel vs Diego Saraiva', 'Chris Lytle vs Jason Gilliam', 'Frankie Edgar vs Mark Bocek']","['Kenny Florian', 'Anderson Silva', 'Rashad Evans', 'Sean Sherk', 'Minotauro Nogueira', 'Stephan Bonnar', 'Jorge Gurgel', 'Chris Lytle', 'Frankie Edgar']","['KO/TKO', 'KO/TKO', 'U-DEC', 'U-DEC', 'U-DEC', 'SUB', 'U-DEC', 'SUB', 'KO/TKO']","['1', '1', '3', '5', '3', '1', '3', '1', '1']","['4:30', '4:50', '5:00', '5:00', '5:00', '2:14', '5:00', '2:15', '4:55']"
408,The Ultimate Fighter 5 Finale,"June 23, 2007","Las Vegas, Nevada, USA","['BJ Penn vs Jens Pulver', 'Nate Diaz vs Manvel Gamburyan', 'Thales Leites vs Floyd Sword', 'Roger Huerta vs Doug Evans', 'Joe Lauzon vs Brandon Melendez', 'Cole Miller vs Andy Wang', 'Gray Maynard vs Rob Emerson', 'Leonard Garcia vs Allen Berube', 'Matt Wiman vs Brian Geraghty']","['BJ Penn', 'Nate Diaz', 'Thales Leites', 'Roger Huerta', 'Joe Lauzon', 'Cole Miller', 'Gray Maynard', 'Leonard Garcia', 'Matt Wiman']","['SUB', 'SUB', 'SUB', 'KO/TKO', 'SUB', 'KO/TKO', 'CNC', 'SUB', 'KO/TKO']","['2', '2', '1', '2', '2', '1', '2', '1', '1']","['3:12', '0:20', '3:50', '3:30', '2:09', '1:10', '0:39', '4:22', '2:09']"
409,UFC 72: Victory,"June 16, 2007","Belfast, Northern Ireland, United Kingdom","['Rich Franklin vs Yushin Okami', 'Forrest Griffin vs Hector Ramirez', 'Jason MacDonald vs Rory Singer', 'Tyson Griffin vs Clay Guida', 'Ed Herman vs Scott Smith', 'Marcus Davis vs Jason Tan', 'Eddie Sanchez vs Colin Robinson', 'Dustin Hazelett vs Stevie Lynch']","['Rich Franklin', 'Forrest Griffin', 'Jason MacDonald', 'Tyson Griffin', 'Ed Herman', 'Marcus Davis', 'Eddie Sanchez', 'Dustin Hazelett']","['U-DEC', 'U-DEC', 'KO/TKO', 'S-DEC', 'SUB', 'KO/TKO', 'KO/TKO', 'SUB']","['3', '3', '2', '3', '2', '1', '2', '1']","['5:00', '5:00', '3:18', '5:00', '2:25', '1:15', '0:32', '2:50']"
410,UFC Fight Night: Stout vs Fisher,"June 12, 2007","Hollywood, Florida, USA","['Spencer Fisher vs Sam Stout', 'Jon Fitch vs Roan Carneiro', 'Drew McFedries vs Jordan Radev', 'Thiago Tavares vs Jason Black', 'Forrest Petz vs Luigi Fioravanti', 'Tamdan McCrory vs Pete Spratt', 'Gleison Tibau vs Jeff Cox', 'Anthony Johnson vs Chad Reiner', 'Nate Mohr vs Luke Caudillo']","['Spencer Fisher', 'Jon Fitch', 'Drew McFedries', 'Thiago Tavares', 'Forrest Petz', 'Tamdan McCrory', 'Gleison Tibau', 'Anthony Johnson', 'Nate Mohr']","['U-DEC', 'SUB', 'KO/TKO', 'SUB', 'U-DEC', 'SUB', 'SUB', 'KO/TKO', 'U-DEC']","['3', '2', '1', '2', '3', '2', '1', '1', '3']","['5:00', '1:07', '0:33', '2:49', '5:00', '2:04', '1:52', '0:13', '5:00']"
411,UFC 71: Liddell vs Jackson,"May 26, 2007","Las Vegas, Nevada, USA","['Rampage Jackson vs Chuck Liddell', 'Karo Parisyan vs Joshua Burkman', 'Terry Martin vs Ivan Salaverry', 'Houston Alexander vs Keith Jardine', 'Kalib Starnes vs Chris Leben', 'Thiago Silva vs James Irvin', 'Alan Belcher vs Sean Salmon', 'Din Thomas vs Jeremy Stephens', 'Wilson Gouveia vs Carmelo Marrero']","['Rampage Jackson', 'Karo Parisyan', 'Terry Martin', 'Houston Alexander', 'Kalib Starnes', 'Thiago Silva', 'Alan Belcher', 'Din Thomas', 'Wilson Gouveia']","['KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO', 'SUB', 'SUB', 'SUB']","['1', '3', '1', '1', '3', '1', '1', '2', '1']","['1:53', '5:00', '2:04', '0:48', '5:00', '1:06', '0:53', '2:44', '3:06']"
412,UFC 70: Nations Collide,"April 21, 2007","Manchester, England, United Kingdom","['Gabriel Gonzaga vs Mirko Cro Cop', 'Andrei Arlovski vs Fabricio Werdum', 'Michael Bisping vs Elvis Sinosic', 'Lyoto Machida vs David Heath', 'Cheick Kongo vs Assuerio Silva', 'Terry Etim vs Matt Grice', 'Junior Assuncao vs David Lee', 'Alessio Sakara vs Victor Valimaki', 'Jess Liaudin vs Dennis Siver', 'Paul Taylor vs Edilberto de Oliveira']","['Gabriel Gonzaga', 'Andrei Arlovski', 'Michael Bisping', 'Lyoto Machida', 'Cheick Kongo', 'Terry Etim', 'Junior Assuncao', 'Alessio Sakara', 'Jess Liaudin', 'Paul Taylor']","['KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC', 'M-DEC', 'SUB', 'SUB', 'KO/TKO', 'SUB', 'KO/TKO']","['1', '3', '2', '3', '3', '1', '2', '1', '1', '3']","['4:51', '5:00', '1:40', '5:00', '5:00', '4:48', '1:55', '1:44', '1:21', '0:37']"
413,UFC 69: Shootout,"April 07, 2007","Houston, Texas, USA","['Matt Serra vs Georges St-Pierre', 'Josh Koscheck vs Diego Sanchez', 'Roger Huerta vs Leonard Garcia', 'Yushin Okami vs Mike Swick', 'Kendall Grove vs Alan Belcher', 'Heath Herring vs Brad Imes', 'Thales Leites vs Pete Sell', 'Marcus Davis vs Pete Spratt', 'Luke Cummo vs Josh Haynes']","['Matt Serra', 'Josh Koscheck', 'Roger Huerta', 'Yushin Okami', 'Kendall Grove', 'Heath Herring', 'Thales Leites', 'Marcus Davis', 'Luke Cummo']","['KO/TKO', 'U-DEC', 'U-DEC', 'U-DEC', 'SUB', 'U-DEC', 'U-DEC', 'SUB', 'KO/TKO']","['1', '3', '3', '3', '2', '3', '3', '2', '2']","['3:25', '5:00', '5:00', '5:00', '4:42', '5:00', '5:00', '2:57', '2:45']"
414,UFC Fight Night: Stevenson vs Guillard,"April 05, 2007","Las Vegas, Nevada, USA","['Joe Stevenson vs Melvin Guillard', 'Justin McCully vs Antoni Hardonk', 'Kenny Florian vs Dokonjonosuke Mishima', 'Wilson Gouveia vs Seth Petruzelli', 'Drew Fickett vs Keita Nakamura', 'Kurt Pellegrino vs Nate Mohr', 'Kuniyoshi Hironaka vs Forrest Petz', 'Roan Carneiro vs Rich Clementi', 'Thiago Tavares vs Naoyuki Kotani']","['Joe Stevenson', 'Justin McCully', 'Kenny Florian', 'Wilson Gouveia', 'Drew Fickett', 'Kurt Pellegrino', 'Kuniyoshi Hironaka', 'Roan Carneiro', 'Thiago Tavares']","['SUB', 'U-DEC', 'SUB', 'SUB', 'U-DEC', 'SUB', 'U-DEC', 'U-DEC', 'U-DEC']","['1', '3', '3', '2', '3', '1', '3', '3', '3']","['0:27', '5:00', '3:57', '0:39', '5:00', '2:58', '5:00', '5:00', '5:00']"
415,UFC 68: The Uprising,"March 03, 2007","Columbus, Ohio, USA","['Randy Couture vs Tim Sylvia', 'Martin Kampmann vs Drew McFedries', 'Rich Franklin vs Jason MacDonald', 'Matt Hughes vs Chris Lytle', 'Jason Lambert vs Renato Sobral', 'Matt Hamill vs Rex Holman', 'Jon Fitch vs Luigi Fioravanti', 'Gleison Tibau vs Jason Dent', 'Jamie Varner vs Jason Gilliam']","['Randy Couture', 'Martin Kampmann', 'Rich Franklin', 'Matt Hughes', 'Jason Lambert', 'Matt Hamill', 'Jon Fitch', 'Gleison Tibau', 'Jamie Varner']","['U-DEC', 'SUB', 'KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'SUB', 'U-DEC', 'SUB']","['5', '1', '2', '3', '2', '1', '2', '3', '1']","['5:00', '4:06', '5:00', '5:00', '3:36', '4:00', '3:05', '5:00', '1:34']"
416,UFC 67: All or Nothing,"February 03, 2007","Las Vegas, Nevada, USA","['Anderson Silva vs Travis Lutter', 'Mirko Cro Cop vs Eddie Sanchez', 'Roger Huerta vs John Halverson', 'Rampage Jackson vs Marvin Eastman', 'Patrick Cote vs Scott Smith', 'Terry Martin vs Jorge Rivera', 'Frankie Edgar vs Tyson Griffin', 'Lyoto Machida vs Sam Hoger', 'Dustin Hazelett vs Diego Saraiva']","['Anderson Silva', 'Mirko Cro Cop', 'Roger Huerta', 'Rampage Jackson', 'Patrick Cote', 'Terry Martin', 'Frankie Edgar', 'Lyoto Machida', 'Dustin Hazelett']","['SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC', 'U-DEC', 'U-DEC']","['2', '1', '1', '2', '3', '1', '3', '3', '3']","['2:11', '4:33', '0:19', '3:49', '5:00', '0:14', '5:00', '5:00', '5:00']"
417,UFC Fight Night: Evans vs Salmon,"January 25, 2007","Hollywood, Florida, USA","['Rashad Evans vs Sean Salmon', ""Jake O'Brien vs Heath Herring"", 'Hermes Franca vs Spencer Fisher', 'Nate Marquardt vs Dean Lister', 'Joshua Burkman vs Chad Reiner', 'Ed Herman vs Chris Price', 'Din Thomas vs Clay Guida', 'Rich Clementi vs Ross Pointon']","['Rashad Evans', ""Jake O'Brien"", 'Hermes Franca', 'Nate Marquardt', 'Joshua Burkman', 'Ed Herman', 'Din Thomas', 'Rich Clementi']","['KO/TKO', 'U-DEC', 'KO/TKO', 'U-DEC', 'U-DEC', 'SUB', 'U-DEC', 'SUB']","['2', '3', '2', '3', '3', '1', '3', '2']","['1:06', '5:00', '4:03', '5:00', '5:00', '2:58', '5:00', '4:53']"
418,UFC 66: Liddell vs Ortiz 2,"December 30, 2006","Las Vegas, Nevada, USA","['Chuck Liddell vs Tito Ortiz', 'Keith Jardine vs Forrest Griffin', 'Jason MacDonald vs Chris Leben', 'Andrei Arlovski vs Marcio Cruz', 'Michael Bisping vs Eric Schafer', 'Thiago Alves vs Tony DeSouza', 'Gabriel Gonzaga vs Carmelo Marrero', 'Yushin Okami vs Rory Singer', 'Christian Wellisch vs Anthony Perosh']","['Chuck Liddell', 'Keith Jardine', 'Jason MacDonald', 'Andrei Arlovski', 'Michael Bisping', 'Thiago Alves', 'Gabriel Gonzaga', 'Yushin Okami', 'Christian Wellisch']","['KO/TKO', 'KO/TKO', 'SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'SUB', 'KO/TKO', 'U-DEC']","['3', '1', '2', '1', '1', '2', '1', '3', '3']","['3:59', '4:41', '4:03', '3:15', '4:24', '1:10', '3:22', '4:03', '5:00']"
419,UFC Fight Night: Sanchez vs Riggs,"December 13, 2006","San Diego, California, USA","['Diego Sanchez vs Joe Riggs', 'Josh Koscheck vs Jeff Joslin', 'Karo Parisyan vs Drew Fickett', 'Marcus Davis vs Shonie Carter', 'David Heath vs Victor Valimaki', 'Alan Belcher vs Jorge Santiago', 'Luigi Fioravanti vs Dave Menne', 'Brock Larson vs Keita Nakamura', 'Logan Clark vs Steve Byrnes']","['Diego Sanchez', 'Josh Koscheck', 'Karo Parisyan', 'Marcus Davis', 'David Heath', 'Alan Belcher', 'Luigi Fioravanti', 'Brock Larson', 'Logan Clark']","['KO/TKO', 'U-DEC', 'U-DEC', 'U-DEC', 'S-DEC', 'KO/TKO', 'KO/TKO', 'U-DEC', 'U-DEC']","['1', '3', '3', '3', '3', '3', '1', '3', '3']","['1:45', '5:00', '5:00', '5:00', '5:00', '2:45', '4:44', '5:00', '5:00']"
420,UFC 65: Bad Intentions,"November 18, 2006","Sacramento, California, USA","['Georges St-Pierre vs Matt Hughes', 'Tim Sylvia vs Jeff Monson', 'Drew McFedries vs Alessio Sakara', 'Brandon Vera vs Frank Mir', 'Joe Stevenson vs Dokonjonosuke Mishima', 'Nick Diaz vs Gleison Tibau', 'Antoni Hardonk vs Sherman Pendergarst', 'James Irvin vs Hector Ramirez', ""Jake O'Brien vs Josh Shockman""]","['Georges St-Pierre', 'Tim Sylvia', 'Drew McFedries', 'Brandon Vera', 'Joe Stevenson', 'Nick Diaz', 'Antoni Hardonk', 'James Irvin', ""Jake O'Brien""]","['KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'SUB', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'U-DEC']","['2', '5', '1', '1', '1', '2', '1', '2', '3']","['1:25', '5:00', '4:07', '1:09', '2:07', '2:27', '3:15', '2:36', '5:00']"
421,The Ultimate Fighter 4 Finale,"November 11, 2006","Las Vegas, Nevada, USA","['Matt Serra vs Chris Lytle', 'Travis Lutter vs Patrick Cote', 'Din Thomas vs Rich Clementi', 'Jorge Rivera vs Edwin DeWees', 'Pete Spratt vs Jeremy Jackson', 'Scott Smith vs Pete Sell', 'Charles McCarthy vs Gideon Ray', 'Martin Kampmann vs Thales Leites']","['Matt Serra', 'Travis Lutter', 'Din Thomas', 'Jorge Rivera', 'Pete Spratt', 'Scott Smith', 'Charles McCarthy', 'Martin Kampmann']","['S-DEC', 'SUB', 'SUB', 'KO/TKO', 'SUB', 'KO/TKO', 'SUB', 'U-DEC']","['3', '1', '2', '1', '2', '2', '1', '3']","['5:00', '2:18', '3:11', '2:37', '1:11', '3:25', '4:43', '5:00']"
422,UFC 64: Unstoppable,"October 14, 2006","Las Vegas, Nevada, USA","['Anderson Silva vs Rich Franklin', 'Sean Sherk vs Kenny Florian', 'Jon Fitch vs Kuniyoshi Hironaka', 'Carmelo Marrero vs Cheick Kongo', 'Spencer Fisher vs Dan Lauzon', 'Yushin Okami vs Kalib Starnes', 'Clay Guida vs Justin James', 'Kurt Pellegrino vs Junior Assuncao']","['Anderson Silva', 'Sean Sherk', 'Jon Fitch', 'Carmelo Marrero', 'Spencer Fisher', 'Yushin Okami', 'Clay Guida', 'Kurt Pellegrino']","['KO/TKO', 'U-DEC', 'U-DEC', 'S-DEC', 'KO/TKO', 'KO/TKO', 'SUB', 'SUB']","['1', '5', '3', '3', '1', '3', '2', '1']","['2:59', '5:00', '5:00', '5:00', '4:38', '1:40', '4:42', '2:04']"
423,Ortiz vs Shamrock 3: The Final Chapter,"October 10, 2006","Hollywood, Florida, USA","['Tito Ortiz vs Ken Shamrock', 'Kendall Grove vs Chris Price', 'Jason MacDonald vs Ed Herman', 'Matt Hamill vs Seth Petruzelli', 'Nate Marquardt vs Crafton Wallace', 'Tony DeSouza vs Dustin Hazelett', 'Rory Singer vs Josh Haynes', 'Thiago Alves vs John Alessio', 'Marcus Davis vs Forrest Petz']","['Tito Ortiz', 'Kendall Grove', 'Jason MacDonald', 'Matt Hamill', 'Nate Marquardt', 'Tony DeSouza', 'Rory Singer', 'Thiago Alves', 'Marcus Davis']","['KO/TKO', 'KO/TKO', 'SUB', 'U-DEC', 'SUB', 'SUB', 'U-DEC', 'U-DEC', 'SUB']","['1', '1', '1', '3', '2', '1', '3', '3', '1']","['2:23', '3:59', '2:43', '5:00', '1:14', '3:59', '5:00', '5:00', '4:58']"
424,UFC 63: Hughes vs Penn,"September 23, 2006","Anaheim, California, USA","['Matt Hughes vs BJ Penn', 'Mike Swick vs David Loiseau', 'Melvin Guillard vs Gabe Ruediger', 'Rashad Evans vs Jason Lambert', 'Joe Lauzon vs Jens Pulver', 'Roger Huerta vs Jason Dent', 'Eddie Sanchez vs Mario Neto', 'Jorge Gurgel vs Danny Abbadi', 'Tyson Griffin vs David Lee']","['Matt Hughes', 'Mike Swick', 'Melvin Guillard', 'Rashad Evans', 'Joe Lauzon', 'Roger Huerta', 'Eddie Sanchez', 'Jorge Gurgel', 'Tyson Griffin']","['KO/TKO', 'U-DEC', 'KO/TKO', 'KO/TKO', 'KO/TKO', 'U-DEC', 'KO/TKO', 'S-DEC', 'SUB']","['3', '3', '2', '2', '1', '3', '2', '3', '1']","['3:53', '5:00', '1:01', '2:22', '0:48', '5:00', '0:17', '5:00', '1:50']"
